policy,accuracy,macro_f1,weighted_f1,top2_accuracy,warm_cool_accuracy,warm_to_cool_errors,cool_to_warm_errors,within_warm_errors,within_cool_errors,weighted_error_score,coverage_rate,boundary_rate,single_accuracy,changed_count,changed_wrong_to_correct,changed_correct_to_wrong,warm_recall,cool_recall,total_warm_samples,total_cool_samples,warm_cool_error_rate,within_group_error_rate
base_4class,0.5672097759674134,0.5629357272111009,0.5648858355309376,0.8340122199592668,0.6945010183299389,170.0,130.0,68.0,57.0,1.0437881873727088,1.0,0.0,0.5672097759674134,0.0,0.0,0.0,0.657258064516129,0.7325102880658436,496.0,486.0,0.3054989816700611,0.12729124236252545
margin_pairwise_reranker,0.570264765784114,0.5662022011278485,0.5682342050322585,0.8340122199592668,0.6975560081466395,165.0,132.0,70.0,55.0,1.034623217922607,1.0,0.0,0.570264765784114,40.0,19.0,16.0,0.6673387096774194,0.7283950617283951,496.0,486.0,0.3024439918533605,0.12729124236252545
boundary_policy,0.5672097759674134,0.5629357272111009,0.5648858355309376,0.8340122199592668,0.6945010183299389,170.0,130.0,68.0,57.0,1.0437881873727088,0.7352342158859471,0.26476578411405294,0.6038781163434903,0.0,0.0,0.0,0.657258064516129,0.7325102880658436,496.0,486.0,0.3054989816700611,0.12729124236252545
warm_cool_reranker_if_available,0.5651731160896131,0.5604180190013028,0.5627213150144427,0.8340122199592668,0.6924643584521385,166.0,136.0,70.0,55.0,1.04989816700611,1.0,0.0,0.5651731160896131,38.0,14.0,16.0,0.6653225806451613,0.720164609053498,496.0,486.0,0.3075356415478615,0.12729124236252545
top2_only_reference,,,,0.8340122199592668,,,,,,,,,,,,,,,,,,
